,Year,Total Income,Wages and Salaries,% of total
2,1969,34907.7,25043,0.7174061883194826
3,1970,36837.2,25989.1,0.7055123625031219
4,1971,38999.8,26926.1,0.6904163611095441
5,1972,42377.4,29271.5,0.69073374015395
6,1973,46792.3,32608.6,0.6968796148084193
7,1974,51160.2,35100,0.6860801951517
8,1975,54639,35993,0.6587419242665495
9,1976,59785.2,39692.5,0.6639184948783311
10,1977,66219.5,44019.2,0.6647467890878064
11,1978,73120.6,49035.3,0.6706085562755228
12,1979,80625.8,53927,0.6688553787993421
13,1980,88094.2,56564.5,0.6420910797759671
14,1981,96085.5,60543.2,0.6300971530563925
15,1982,100624.3,61172.5,0.6079296949146479
16,1983,106601.5,63944.1,0.5998424037185218
17,1984,117326.1,70495.5,0.6008509615507547
18,1985,124875.2,75426.8,0.6040174510231014
19,1986,130960.8,79096.7,0.6039723337059639
20,1987,137366.8,83637.6,0.6088632770072536
21,1988,147803.5,89895.3,0.6082081953404351
22,1989,158978.9,94418.1,0.5939033418900245
23,1990,168530.8,99079.4,0.5879008466108272
24,1991,172473.8,100967.1,0.5854054354922313
25,1992,183246.4,106514.8,0.5812654436867518
26,1993,190968.2,110582.9,0.579064472514272
27,1994,201286,117383.8,0.5831692219031627
28,1995,211405.1,123641.4,0.5848553322507356
29,1996,220994.5,129160.9,0.5844530067490367
30,1997,233696,137218.9,0.5871683725866083
31,1998,247791,145901,0.5888066959655516
32,1999,256493.2,153246.8,0.5974692506468007
33,2000,270604.3,160696.2,0.5938420047279368
34,2001,275866.2,162977.6,0.5907849529953288
35,2002,280268,164565.6,0.5871722779625216
36,2003,288291.9,168750.3,0.5853452698462911
37,2004,299476.3,175720.5,0.5867592861271493
38,2005,309023,180621.8,0.5844930636230959
39,2006,325462.5,187270.8,0.5753990091024311
40,2007,338881.8,193402.3,0.5707072495483676
41,2008,349036.1,194927.9,0.5584748970092206
42,2009,338357.7,185430,0.5480294965948758
43,2010,348379.8,188538.9,0.541187807100182
44,2011,372123.9,197003.7,0.5294035131847216
45,2012,388506.7,206591.8,0.531758654355253
46,2013,393135.5,210854.1,0.5363395063534074
47,2014,410215.6,220059.7,0.5364488820025373
48,2015,426238.1,228302.6,0.5356222261688949
49,2016,434998.4,233879.1,0.5376550810301831
50,2017,452112.3,242632.1,0.5366633466950579
51,2018,473466.7,251824,0.5318726744668633
