GeoName,CAGR_01-10_gdp,CAGR_10-1_gdp,CAGR_01-10_y,CAGR_10-18_y
"Abilene, TX (Metropolitan Statistical Area)",0.024366691902639293,0.011587272967849671,0.005149529274532272,0.004987386071785727
"Akron, OH (Metropolitan Statistical Area)",0.009013586682806052,0.012355673851147664,0.0008794938547451725,0.0003673879395396096
"Albany, GA (Metropolitan Statistical Area)",-0.003964524930142654,0.0035122198831305518,0.00034434500090885223,-0.003973555186797539
"Albany-Lebanon, OR (Metropolitan Statistical Area)",-0.007466812234085074,0.01829329172104588,0.015266740635973441,0.012305634964111745
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",0.012500224955634298,0.007870145057077949,0.005900227237898514,0.0019709045676887804
"Alexandria, LA (Metropolitan Statistical Area)",0.013760810390938794,0.0021727047544011224,0.0075424121762850405,-0.0009744342002172557
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",-0.02919047344153547,0.00870641328550481,0.011729598401567953,0.003610499796464328
"Altoona, PA (Metropolitan Statistical Area)",0.015827639231737356,0.010328741585116541,-0.0013962226357006058,-0.005197857017945506
"Amarillo, TX (Metropolitan Statistical Area)",0.010398173297739843,0.009196507725262704,0.011630585446587682,0.007338948699318282
"Ames, IA (Metropolitan Statistical Area)",0.012467238724645835,0.016690894644222798,0.01064877641126416,0.010186209136772373
"Anchorage, AK (Metropolitan Statistical Area)",0.009653810977596766,-0.004422019470450844,0.020329722460195487,0.005900166343272062
"Ann Arbor, MI (Metropolitan Statistical Area)",-0.010383097985284806,0.014565250881314329,0.006289107063174093,0.010144319727619866
"Anniston-Oxford, AL (Metropolitan Statistical Area)",0.027464024638350404,-0.014792219925567784,0.007880276969570055,-0.005142947128918274
"Appleton, WI (Metropolitan Statistical Area)",-0.0015416880782141984,0.010517707114472419,0.011817413590685,0.0071657649628384945
"Asheville, NC (Metropolitan Statistical Area)",0.0006727598481166552,0.01571490246450158,0.015901879523859463,0.011124242365932568
"Athens-Clarke County, GA (Metropolitan Statistical Area)",0.0014065043923292553,0.010571333545730033,0.017043943402330397,0.012703698046860445
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",-0.012970019013673673,0.019225936705263846,0.02352934182786859,0.016588412490733395
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",-0.009959939940280993,-0.0014103766486422975,0.008957927489527062,-0.004866197769688219
"Auburn-Opelika, AL (Metropolitan Statistical Area)",0.014812907628660943,0.034415959105716265,0.023619285525640743,0.02196979422546863
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",0.0039461367775133205,0.0054170105844513206,0.012567873203207958,0.00924067543245144
"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",0.017194482257433252,0.021514977277547365,0.034075622620832524,0.03299837871205891
