,Year,48774,105534,105541,Tertiary Employment Total
2,1969,131908,0,0,466240
3,1970,130535,0,0,471680
4,1971,125462,0,0,462910
5,1972,128267,0,0,473393
6,1973,130851,0,0,484532
7,1974,134140,0,0,496193
8,1975,130981,0,0,485595
9,1976,132908,0,0,489328
10,1977,136431,0,0,500220
11,1978,138984,0,0,512498
12,1979,138655,0,0,519960
13,1980,136795,0,0,519886
14,1981,130917,0,0,515391
15,1982,128627,0,0,510053
16,1983,128742,0,0,507756
17,1984,130484,0,0,521819
18,1985,133361,0,0,535689
19,1986,136548,0,0,551442
20,1987,136717,0,0,562864
21,1988,138520,0,0,580201
22,1989,139867,0,0,591049
23,1990,141181,0,0,595465
24,1991,137384,0,0,590337
25,1992,135928,0,0,583075
26,1993,134464,0,0,591440
27,1994,138260,0,0,606666
28,1995,143132,0,0,625190
29,1996,146489,0,0,636637
30,1997,149291,0,0,650096
31,1998,147851,0,0,662203
32,1999,148745,0,0,674464
33,2000,147044,0,0,681761
34,2001,90906,2156,59614,630128
35,2002,87374,1842,56189,628271
36,2003,87196,1709,55415,630920
37,2004,84222,1590,57844,629754
38,2005,80770,1557,59007,629508
39,2006,79108,1574,60047,639408
40,2007,78108,1654,60678,644550
41,2008,76383,1732,57961,641930
42,2009,72676,1604,53344,635124
43,2010,70833,1516,55668,636165
44,2011,71432,1485,58356,645598
45,2012,72068,1474,61044,660144
46,2013,72875,1516,61084,670253
47,2014,73134,1508,62978,672642
48,2015,73598,1549,61232,685737
49,2016,72887,1606,61205,693446
50,2017,71934,1609,61233,695024
51,2018,70949,1558,63740,702102
