,Year,Total Employment,Lower Skill Employment Total,% of total
2,2001,5793049,1960767,0.3384689133477034
3,2002,5707518,1953358,0.34224298547985305
4,2003,5688650,1947631,0.3423713886422965
5,2004,5738479,1963319,0.3421322967288022
6,2005,5790278,1958254,0.3381968879559841
7,2006,5831208,1961166,0.3363224223865792
8,2007,5875172,1967276,0.33484568621990984
9,2008,5811687,1926071,0.33141340887766324
10,2009,5546383,1840152,0.3317751406637443
11,2010,5512363,1830685,0.3321053058370793
12,2011,5632878,1870895,0.33213838467653656
13,2012,5719115,1897832,0.3318401535901971
14,2013,5801201,1924879,0.3318069827265078
15,2014,5895034,1954381,0.3315300641183749
16,2015,5980188,1971822,0.32972575444116475
17,2016,6040082,1984263,0.32851590425428
18,2017,6113555,1997070,0.32666263736892853
19,2018,6199710,2001336,0.3228112282671286
